"인구, 가구 및 주택 - 읍면동"

"C행정구역별(읍면동)","행정구역별(읍면동)","시점","총인구 (명)","남자 (명)","여자 (명)","내국인-계 (명)","내국인-남자 (명)","내국인-여자 (명)","외국인-계 (명)","외국인-남자 (명)","외국인-여자 (명)","가구-계 (가구)","일반가구 (가구)","집단가구 (가구)","외국인가구 (가구)","주택-계 (호)","단독주택 (호)","아파트 (호)","연립주택 (호)","다세대주택 (호)","비거주용 건물내 주택 (호)","주택이외의 거처 (호)"
'00,"전국",2015,51069375,25608502,25460873,49705663,24819839,24885824,1363712,788663,575049,19560603,19111030,16464,433109,16367006,3973961,9806062,485349,1898090,203544,607195
'04,"읍부",2015,4616802,2360708,2256094,4467697,2262853,2204844,149105,97855,51250,1737415,1695508,2189,39718,1614808,544351,864404,66387,112764,26902,49554
'05,"면부",2015,4774878,2455898,2318980,4546520,2291860,2254660,228358,164038,64320,1981033,1927621,4284,49128,1982064,1524970,334810,31485,61366,29433,78036
'03,"동부",2015,41677695,20791896,20885799,40691446,20265126,20426320,986249,526770,459479,15842155,15487901,9991,344263,12770134,1904640,8606848,387477,1723960,147209,479605
'11,"서울특별시",2015,9904312,4859535,5044777,9567196,4694317,4872879,337116,165218,171898,3914820,3784490,2261,128069,2793244,355039,1636896,117235,654372,29702,150951
'11010," 종로구",2015,161521,79510,82011,146119,71951,74168,15402,7559,7843,68429,61580,106,6743,43550,13103,12552,5395,11664,836,4226
'1101053,"  사직동",2015,9379,4325,5054,8571,3934,4637,808,391,417,3897,3562,7,328,2771,729,1532,78,386,46,633
'1101054,"  삼청동",2015,2808,1340,1468,2601,1222,1379,207,118,89,1168,1092,X,75,799,714,X,19,41,25,35
'1101055,"  부암동",2015,11012,5327,5685,10157,4921,5236,855,406,449,4096,3841,6,249,2957,1092,121,902,806,36,197
'1101056,"  평창동",2015,18594,8794,9800,17789,8393,9396,805,401,404,6645,6310,16,319,5754,1533,936,2180,1044,61,130
'1101057,"  무악동",2015,8106,3829,4277,7981,3785,4196,125,44,81,2871,2823,X,47,2870,160,2590,55,50,15,19
'1101058,"  교남동",2015,4620,2234,2386,4441,2133,2308,179,101,78,1947,1888,X,57,1527,251,112,88,1072,X,26
'1101060,"  가회동",2015,4917,2417,2500,4616,2267,2349,301,150,151,1964,1843,X,119,1646,750,X,137,741,18,53
'1101061,"  종로1·2·3·4가동",2015,7598,4130,3468,6679,3699,2980,919,431,488,4122,3733,17,372,1613,563,932,28,26,64,1289
'1101063,"  종로5·6가동",2015,5792,3128,2664,5169,2837,2332,623,291,332,2683,2376,X,303,1116,769,102,X,90,151,345
'1101064,"  이화동",2015,9519,4505,5014,8618,4022,4596,901,483,418,4383,3981,8,394,2725,808,189,266,1393,69,175
'1101067,"  창신1동",2015,6766,3519,3247,5316,2772,2544,1450,747,703,3115,2465,7,643,1528,525,832,16,116,39,154
'1101068,"  창신2동",2015,11405,5763,5642,9077,4581,4496,2328,1182,1146,4742,3774,X,968,2445,908,328,91,1082,36,34
'1101069,"  창신3동",2015,7603,3762,3841,7264,3593,3671,339,169,170,2791,2635,X,154,2152,315,1735,35,58,9,8
'1101070,"  숭인1동",2015,7049,3508,3541,6432,3171,3261,617,337,280,3011,2740,X,270,1554,687,654,15,170,28,233
'1101071,"  숭인2동",2015,9831,5056,4775,8814,4526,4288,1017,530,487,4922,4478,X,440,3081,446,1394,241,936,64,706
'1101072,"  청운효자동",2015,13580,6438,7142,13041,6156,6885,539,282,257,5072,4920,X,149,4149,1349,261,783,1701,55,43
'1101073,"  혜화동",2015,22942,11435,11507,19553,9939,9614,3389,1496,1893,11000,9119,25,1856,4863,1504,834,457,1952,116,146
'11020," 중구",2015,128478,63218,65260,118021,58223,59798,10457,4995,5462,55508,51205,64,4239,37478,6436,22186,1975,6148,733,3549
'1102052,"  소공동",2015,1939,815,1124,1460,553,907,479,262,217,664,517,X,144,380,15,355,X,X,10,136
'1102054,"  회현동",2015,5501,2891,2610,4612,2440,2172,889,451,438,2732,2343,7,382,1782,285,1345,43,77,32,158
'1102055,"  명동",2015,3328,1542,1786,2613,1141,1472,715,401,314,1489,1191,5,293,519,217,250,X,23,29,206
'1102057,"  필동",2015,5506,2812,2694,4636,2409,2227,870,403,467,2408,2168,6,234,956,399,279,90,140,48,312
'1102058,"  장충동",2015,6216,3114,3102,5268,2708,2560,948,406,542,3094,2675,18,401,2431,408,201,278,1494,50,94
'1102059,"  광희동",2015,5594,2854,2740,4418,2307,2111,1176,547,629,2764,2269,X,493,1445,502,822,X,80,38,428
'1102060,"  을지로동",2015,1543,933,610,1458,895,563,85,38,47,960,914,X,45,436,117,264,X,X,55,270
'1102065,"  신당5동",2015,10138,5052,5086,9619,4818,4801,519,234,285,4390,4143,X,245,2457,681,1336,107,278,55,158
'1102067,"  황학동",2015,12700,6279,6421,11546,5706,5840,1154,573,581,5758,5301,X,456,3610,714,2589,16,170,121,857
'1102068,"  중림동",2015,8392,4188,4204,8086,4048,4038,306,140,166,3682,3541,6,135,2764,313,1890,55,482,24,360
'1102069,"  신당동",2015,8553,4274,4279,6863,3474,3389,1690,800,890,4171,3401,X,770,1996,980,586,51,309,70,276
'1102070,"  다산동",2015,15238,7401,7837,14609,7124,7485,629,277,352,6382,6103,5,274,4267,896,472,711,2119,69,117
'1102071,"  약수동",2015,18023,8625,9398,17592,8429,9163,431,196,235,7266,7118,5,143,6508,191,5344,395,560,18,71
'1102072,"  청구동",2015,14752,7086,7666,14414,6930,7484,338,156,182,5878,5747,X,128,4842,487,3844,115,347,49,94
'1102073,"  동화동",2015,11055,5352,5703,10827,5241,5586,228,111,117,3870,3774,X,96,3085,231,2609,111,69,65,12
'11030," 용산구",2015,227282,109980,117302,212189,102154,110035,15093,7826,7267,96385,90313,68,6004,70723,15503,35343,4029,15206,642,4036
'1103051,"  후암동",2015,18092,8891,9201,17386,8538,8848,706,353,353,7502,7184,6,312,5195,1617,618,582,2320,58,86
'1103052,"  용산2가동",2015,12267,6070,6197,10926,5302,5624,1341,768,573,5383,4820,X,562,3326,1185,375,126,1615,25,50
'1103053,"  남영동",2015,7575,4421,3154,6954,4119,2835,621,302,319,4203,3919,14,270,1721,690,440,89,472,30,840
'1103057,"  원효로2동",2015,14738,6922,7816,14508,6830,7678,230,92,138,5510,5418,X,88,4489,589,3223,118,532,27,97
'1103058,"  효창동",2015,9308,4539,4769,9095,4447,4648,213,92,121,3521,3430,X,89,2967,684,963,304,982,34,15
'1103059,"  용문동",2015,12267,5898,6369,12058,5799,6259,209,99,110,4697,4626,X,70,3806,524,2282,97,880,23,40
'1103063,"  이촌1동",2015,25412,11820,13592,24142,11267,12875,1270,553,717,8908,8490,X,418,9531,X,9500,19,11,X,24
'1103064,"  이촌2동",2015,8918,4233,4685,8755,4159,4596,163,74,89,3414,3370,X,44,3391,59,2773,177,374,8,7
'1103065,"  이태원1동",2015,7753,3995,3758,6312,3055,3257,1441,940,501,3665,3056,X,609,2211,874,712,246,329,50,65
'1103066,"  이태원2동",2015,10112,4894,5218,8722,4109,4613,1390,785,605,4678,4058,X,620,3111,1217,705,228,921,40,25
'1103069,"  서빙고동",2015,13068,6337,6731,12286,5958,6328,782,379,403,4789,4541,X,248,4201,645,2611,250,688,7,34
'1103070,"  보광동",2015,16404,8268,8136,15137,7505,7632,1267,763,504,7475,6952,X,522,3614,2050,550,81,895,38,19
'1103071,"  청파동",2015,22017,9838,12179,20930,9425,11505,1087,413,674,9974,9567,22,385,5235,2028,74,472,2587,74,614
'1103072,"  원효로1동",2015,13472,6526,6946,12902,6228,6674,570,298,272,5835,5599,5,231,4663,671,3384,43,496,69,618
'1103073,"  한강로동",2015,14626,7085,7541,13210,6427,6783,1416,658,758,6757,6194,8,555,5212,958,3719,104,344,87,1324
'1103074,"  한남동",2015,21253,10243,11010,18866,8986,9880,2387,1257,1130,10074,9089,X,981,8050,1712,3414,1093,1760,71,178
'11040," 성동구",2015,295006,146332,148674,285137,141429,143708,9869,4903,4966,118900,114719,75,4106,82331,11250,59331,2076,8610,1064,4507
'1104052,"  왕십리2동",2015,15831,7746,8085,15378,7545,7833,453,201,252,6267,6044,6,217,4039,645,3195,9,157,33,319
'1104054,"  마장동",2015,24023,11834,12189,23256,11456,11800,767,378,389,9750,9414,5,331,6282,1262,4111,230,526,153,268
'1104055,"  사근동",2015,15098,8226,6872,13747,7545,6202,1351,681,670,7495,6976,32,487,2813,814,974,55,906,64,133
'1104056,"  행당1동",2015,14669,7191,7478,14123,6932,7191,546,259,287,6185,5927,X,255,3608,636,2346,X,572,54,501
'1104057,"  행당2동",2015,24973,11871,13102,24770,11778,12992,203,93,110,8786,8727,5,54,8445,137,8134,16,153,5,9
'1104058,"  응봉동",2015,16222,7725,8497,16115,7679,8436,107,46,61,5600,5572,X,28,5318,150,3868,42,1251,7,12
'1104059,"  금호1가동",2015,13087,6316,6771,12960,6257,6703,127,59,68,4912,4876,X,36,5643,97,4672,X,847,27,76
'1104062,"  금호4가동",2015,14133,6818,7315,13846,6680,7166,287,138,149,5551,5438,X,112,5712,448,4849,101,275,39,47
'1104065,"  성수1가1동",2015,16715,8435,8280,16278,8183,8095,437,252,185,6632,6432,X,199,4244,651,2625,325,545,98,421
'1104066,"  성수1가2동",2015,17078,8614,8464,16456,8271,8185,622,343,279,7350,7079,X,269,3817,858,2345,200,312,102,686
'1104067,"  성수2가1동",2015,19226,9900,9326,18217,9431,8786,1009,469,540,8137,7682,X,452,4248,1092,1912,593,533,118,91
'1104068,"  성수2가3동",2015,11983,6181,5802,11346,5810,5536,637,371,266,4994,4719,6,269,2698,353,1912,57,292,84,656
